region_id,medicine_id,month,sales_volume,reported_abuse_cases
2000,1000,1,1999,3
2000,1000,2,1793,5
2000,1000,3,446,5
2000,1000,4,244,5
2000,1000,5,1404,4
2000,1000,6,1725,5
2000,1000,7,1051,5
2000,1000,8,1226,7
2000,1000,9,901,6
2000,1000,10,859,5
2000,1000,11,1649,4
2000,1000,12,1007,3
2000,1000,13,159,5
2000,1000,14,1483,5
2000,1000,15,1012,5
2000,1000,16,1306,3
2000,1000,17,1396,4
2000,1000,18,463,5
2000,1000,19,1453,5
2000,1000,20,1859,4
2000,1000,21,1659,5
2000,1000,22,1123,4
2000,1000,23,602,5
2000,1000,24,542,5
2000,1001,1,904,33
2000,1001,2,138,21
2000,1001,3,1634,19
2000,1001,4,1504,20
2000,1001,5,1204,25
2000,1001,6,1580,33
2000,1001,7,431,31
2000,1001,8,1824,21
2000,1001,9,835,24
2000,1001,10,1130,25
2000,1001,11,538,20
2000,1001,12,1733,28
2000,1001,13,433,28
2000,1001,14,128,20
2000,1001,15,1812,26
2000,1001,16,330,29
2000,1001,17,228,32
2000,1001,18,1556,26
2000,1001,19,412,19
2000,1001,20,1645,36
2000,1001,21,1198,28
2000,1001,22,721,16
2000,1001,23,1807,26
2000,1001,24,347,35
2000,1002,1,518,23
2000,1002,2,1752,20
2000,1002,3,1363,20
2000,1002,4,374,22
2000,1002,5,1561,27
2000,1002,6,859,24
2000,1002,7,1636,24
2000,1002,8,1947,24
2000,1002,9,937,31
2000,1002,10,129,21
2000,1002,11,611,20
2000,1002,12,1933,25
2000,1002,13,811,15
2000,1002,14,826,24
2000,1002,15,844,23
2000,1002,16,80,24
2000,1002,17,1200,20
2000,1002,18,1240,29
2000,1002,19,1530,18
2000,1002,20,714,25
2000,1002,21,1634,28
2000,1002,22,455,21
2000,1002,23,730,21
2000,1002,24,526,24
2000,1003,1,989,5
2000,1003,2,525,5
2000,1003,3,1701,4
2000,1003,4,1547,4
2000,1003,5,1940,4
2000,1003,6,1277,7
2000,1003,7,861,5
2000,1003,8,577,5
2000,1003,9,982,3
2000,1003,10,908,5
2000,1003,11,259,4
2000,1003,12,1450,4
2000,1003,13,1562,5
2000,1003,14,902,5
2000,1003,15,421,4
2000,1003,16,563,5
2000,1003,17,1179,6
2000,1003,18,54,5
2000,1003,19,184,6
2000,1003,20,1700,3
2000,1003,21,1785,4
2000,1003,22,1315,4
2000,1003,23,73,4
2000,1003,24,1502,4
2000,1004,1,1052,4
2000,1004,2,1369,4
2000,1004,3,913,4
2000,1004,4,1393,3
2000,1004,5,1748,4
2000,1004,6,751,3
2000,1004,7,1809,2
2000,1004,8,1714,5
2000,1004,9,633,4
2000,1004,10,1445,4
2000,1004,11,840,4
2000,1004,12,655,7
2000,1004,13,68,5
2000,1004,14,950,4
2000,1004,15,891,4
2000,1004,16,832,4
2000,1004,17,542,6
2000,1004,18,1130,6
2000,1004,19,79,4
2000,1004,20,1339,5
2000,1004,21,291,4
2000,1004,22,962,5
2000,1004,23,193,3
2000,1004,24,766,2
2000,1005,1,1349,4
2000,1005,2,1337,6
2000,1005,3,245,5
2000,1005,4,655,6
2000,1005,5,283,2
2000,1005,6,1036,4
2000,1005,7,1968,4
2000,1005,8,142,5
2000,1005,9,1918,4
2000,1005,10,828,6
2000,1005,11,1670,5
2000,1005,12,413,6
2000,1005,13,1388,4
2000,1005,14,1125,6
2000,1005,15,1214,3
2000,1005,16,1113,4
2000,1005,17,1249,6
2000,1005,18,591,2
2000,1005,19,337,5
2000,1005,20,1719,4
2000,1005,21,890,5
2000,1005,22,693,3
2000,1005,23,891,7
2000,1005,24,1933,6
2000,1006,1,1227,18
2000,1006,2,1027,29
2000,1006,3,1251,28
2000,1006,4,1926,20
2000,1006,5,1709,23
2000,1006,6,1732,23
2000,1006,7,860,30
2000,1006,8,1260,16
2000,1006,9,529,15
2000,1006,10,620,25
2000,1006,11,1609,14
2000,1006,12,232,31
2000,1006,13,331,33
2000,1006,14,1743,23
2000,1006,15,387,19
2000,1006,16,1511,27
2000,1006,17,1899,15
2000,1006,18,1460,31
2000,1006,19,318,23
2000,1006,20,1149,20
2000,1006,21,862,27
2000,1006,22,198,29
2000,1006,23,1372,22
2000,1006,24,1479,24
2000,1007,1,1815,5
2000,1007,2,662,4
2000,1007,3,1463,3
2000,1007,4,1655,3
2000,1007,5,475,5
2000,1007,6,1274,4
2000,1007,7,1956,6
2000,1007,8,1310,5
2000,1007,9,163,5
2000,1007,10,1056,5
2000,1007,11,1333,2
2000,1007,12,504,4
2000,1007,13,1414,6
2000,1007,14,1795,4
2000,1007,15,1808,3
2000,1007,16,1200,5
2000,1007,17,866,4
2000,1007,18,1902,4
2000,1007,19,269,4
2000,1007,20,523,5
2000,1007,21,387,5
2000,1007,22,1381,6
2000,1007,23,1583,6
2000,1007,24,690,5
2000,1008,1,1860,5
2000,1008,2,1232,5
2000,1008,3,1113,5
2000,1008,4,446,4
2000,1008,5,210,2
2000,1008,6,429,4
2000,1008,7,1716,5
2000,1008,8,1354,4
2000,1008,9,1919,5
2000,1008,10,1084,3
2000,1008,11,1936,5
2000,1008,12,1615,5
2000,1008,13,642,5
2000,1008,14,1290,5
2000,1008,15,732,4
2000,1008,16,1018,5
2000,1008,17,455,4
2000,1008,18,1684,4
2000,1008,19,595,5
2000,1008,20,694,3
2000,1008,21,752,5
2000,1008,22,618,6
2000,1008,23,681,6
2000,1008,24,1435,4
2000,1009,1,289,4
2000,1009,2,1610,4
2000,1009,3,1953,5
2000,1009,4,659,4
2000,1009,5,1403,6
2000,1009,6,1748,4
2000,1009,7,203,5
2000,1009,8,1101,6
2000,1009,9,1701,5
2000,1009,10,479,4
2000,1009,11,1189,5
2000,1009,12,888,6
2000,1009,13,1375,6
2000,1009,14,338,4
2000,1009,15,821,4
2000,1009,16,163,6
2000,1009,17,1641,5
2000,1009,18,1957,3
2000,1009,19,380,5
2000,1009,20,627,5
2000,1009,21,738,5
2000,1009,22,1649,4
2000,1009,23,300,5
2000,1009,24,130,4
2000,1010,1,1911,4
2000,1010,2,1001,5
2000,1010,3,316,5
2000,1010,4,538,3
2000,1010,5,536,4
2000,1010,6,1765,6
2000,1010,7,1780,5
2000,1010,8,1070,3
2000,1010,9,1695,3
2000,1010,10,322,3
2000,1010,11,357,5
2000,1010,12,899,4
2000,1010,13,1794,5
2000,1010,14,1261,4
2000,1010,15,893,6
2000,1010,16,450,5
2000,1010,17,1697,5
2000,1010,18,862,5
2000,1010,19,1472,4
2000,1010,20,1179,3
2000,1010,21,851,4
2000,1010,22,583,4
2000,1010,23,1575,5
2000,1010,24,467,4
2000,1011,1,212,4
2000,1011,2,248,5
2000,1011,3,161,3
2000,1011,4,1300,3
2000,1011,5,1385,5
2000,1011,6,1735,6
2000,1011,7,1848,4
2000,1011,8,394,3
2000,1011,9,644,5
2000,1011,10,1934,3
2000,1011,11,1253,4
2000,1011,12,502,5
2000,1011,13,1223,5
2000,1011,14,846,5
2000,1011,15,472,5
2000,1011,16,189,5
2000,1011,17,1460,4
2000,1011,18,1502,3
2000,1011,19,854,5
2000,1011,20,220,4
2000,1011,21,125,4
2000,1011,22,567,4
2000,1011,23,789,5
2000,1011,24,1886,5
2000,1012,1,1939,36
2000,1012,2,1557,18
2000,1012,3,1651,25
2000,1012,4,1817,24
2000,1012,5,1587,27
2000,1012,6,388,16
2000,1012,7,1284,21
2000,1012,8,1861,26
2000,1012,9,629,27
2000,1012,10,1002,23
2000,1012,11,1990,34
2000,1012,12,284,31
2000,1012,13,1287,23
2000,1012,14,1527,23
2000,1012,15,740,28
2000,1012,16,972,23
2000,1012,17,570,19
2000,1012,18,890,31
2000,1012,19,649,20
2000,1012,20,1709,26
2000,1012,21,1557,26
2000,1012,22,1196,17
2000,1012,23,1350,34
2000,1012,24,1801,21
2000,1013,1,641,4
2000,1013,2,168,7
2000,1013,3,196,4
2000,1013,4,1505,4
2000,1013,5,1047,3
2000,1013,6,761,4
2000,1013,7,706,4
2000,1013,8,1871,5
2000,1013,9,133,4
2000,1013,10,1474,5
